chr	pos	k
I	7	8
I	20	12
I	255	11
I	11875	27
I	12473	48
I	12999	15
I	13029	30
I	13045	30
I	14790	13
I	23713	1
I	24307	27
I	24689	21
I	25164	15
I	25194	30
I	25210	30
I	31123	2
I	31484	2
I	57899	10
I	69974	8
I	70182	9
I	70907	1
I	73611	12
I	76829	15
I	77495	3
I	77570	12
I	83198	6
I	87812	8
I	99938	14
I	100364	18
I	100373	18
I	100458	27
I	101282	1
I	110696	2
I	112755	12
I	113051	3
I	113289	15
I	113286	9
I	116284	6
I	116490	9
I	120159	5
I	124925	9
I	139570	12
I	142873	9
I	176552	14
I	183182	11
I	189227	10
I	189992	6
I	190136	14
I	192292	3
I	193985	3
I	194011	3
I	198841	11
I	199909	1
I	206757	15
I	206759	15
I	206804	15
I	207633	27
I	219192	15
I	223128	1
I	225395	3
I	229761	15
I	229960	11
I	230093	6
I	230093	12
I	230118	13
I	230127	11
I	230168	18
I	230137	6
I	230186	11
II	1486	36
II	2012	72
II	5847	11
II	9023	1
II	40583	2
II	43105	1
II	48474	3
II	48472	15
II	65934	6
II	65945	18
II	68283	3
II	72347	3
II	115085	9
II	115438	1
II	119980	3
II	130367	12
II	133871	2
II	133940	10
II	137644	5
II	137660	1
II	137645	10
II	145900	1
II	165903	1
II	166361	3
II	169961	19
II	174500	6
II	193551	6
II	205742	6
II	205742	12
II	205755	3
II	205755	15
II	212744	45
II	213154	51
II	213818	15
II	215900	12
II	221077	11
II	226661	11
II	258981	10
II	259618	11
II	265203	11
II	270424	30
II	270430	15
II	270481	15
II	270574	12
II	272538	3
II	296126	1
II	299549	6
II	300034	1
II	314374	13
II	316930	4
II	334957	9
II	338640	8
II	344052	9
II	347103	9
II	351451	19
II	352208	12
II	353596	2
II	353635	2
II	357988	18
II	372272	18
II	372332	18
II	381538	18
II	395185	10
II	395461	9
II	395477	9
II	403111	12
II	405735	11
II	420373	3
II	455248	33
II	455757	6
II	464020	3
II	464113	6
II	465697	12
II	465681	15
II	465697	6
II	477090	2
II	481373	6
II	490778	15
II	495165	9
II	499537	1
II	504356	2
II	505214	9
II	505205	6
II	505211	9
II	525176	9
II	528730	12
II	528730	6
II	541446	3
II	541609	3
II	544750	12
II	546571	18
II	559763	2
II	561223	1
II	563032	1
II	563921	12
II	580113	9
II	646080	8
II	646084	2
II	649338	3
II	649710	6
II	679499	8
II	680670	8
II	681999	11
II	681994	16
II	699840	9
II	702007	2
II	712784	12
II	714133	6
II	714312	15
II	747376	12
II	777198	9
II	779846	3
II	780363	3
II	780369	12
II	780444	3
II	783385	11
II	796529	12
II	813145	15
II	813158	13
III	27	9
III	26	35
III	5	11
III	51	16
III	61	11
III	77	14
III	66	44
III	98	15
III	120	10
III	91	13
III	157	15
III	142	17
III	135	13
III	180	11
III	215	6
III	241	15
III	192	19
III	247	21
III	263	10
III	221	13
III	271	13
III	273	11
III	296	14
III	321	11
III	337	14
III	360	11
III	4681	11
III	6218	17
III	8576	1
III	15300	5
III	27659	1
III	29301	4
III	29458	20
III	29447	12
III	30858	24
III	39849	6
III	41572	15
III	42006	1
III	44542	1
III	50321	2
III	57056	1
III	57058	14
III	57214	1
III	57214	9
III	57214	18
III	60771	6
III	62749	2
III	70618	6
III	71004	33
III	84484	10
III	113903	10
III	124405	11
III	139500	3
III	143020	11
III	149850	13
III	151560	11
III	162424	11
III	163474	7
III	169247	11
III	185258	11
III	190274	2
III	204414	6
III	208027	7
III	210600	14
III	211618	9
III	212406	12
III	213868	12
III	220581	9
III	224277	2
III	224774	2
III	225629	6
III	225629	12
III	225629	24
III	233735	30
III	233735	60
III	234894	3
III	247925	4
III	247961	10
III	247981	2
III	248826	10
III	249302	24
III	250119	10
III	252436	9
III	260026	2
III	261858	15
III	262132	15
III	264225	6
III	264223	12
III	266533	12
III	271475	3
III	283218	3
III	291559	3
III	292106	9
III	292573	2
III	295404	10
III	299934	15
III	303176	11
III	307819	21
III	315518	2
III	316503	11
III	316521	14
III	316548	15
III	316535	28
III	316534	13
III	316575	14
III	316563	13
III	316594	9
IV	11	15
IV	24	13
IV	1	11
IV	44	14
IV	69	7
IV	58	36
IV	79	5
IV	106	19
IV	99	11
IV	88	17
IV	116	13
IV	14017	6
IV	15101	11
IV	20526	2
IV	29106	6
IV	54131	4
IV	54613	12
IV	56986	2
IV	59766	42
IV	67488	6
IV	68662	15
IV	83832	7
IV	92683	1
IV	99358	11
IV	126519	13
IV	126538	1
IV	131004	10
IV	137792	69
IV	149014	3
IV	149114	4
IV	161485	3
IV	161538	12
IV	161587	12
IV	161636	21
IV	168457	9
IV	169822	2
IV	176557	5
IV	181922	3
IV	181933	21
IV	182765	12
IV	205589	21
IV	205715	21
IV	205694	42
IV	205690	63
IV	205715	63
IV	205793	63
IV	212529	10
IV	226817	2
IV	240139	2
IV	271780	12
IV	271801	3
IV	273630	1
IV	302326	11
IV	302324	1
IV	309888	12
IV	323678	2
IV	329642	2
IV	340286	5
IV	344005	2
IV	350978	12
IV	357119	4
IV	362072	6
IV	364832	12
IV	369265	10
IV	369260	1
IV	370969	2
IV	383387	18
IV	383939	18
IV	384332	18
IV	384444	18
IV	384497	18
IV	384851	15
IV	390416	3
IV	390525	6
IV	390460	15
IV	390520	12
IV	392147	2
IV	411037	7
IV	413157	10
IV	427388	54
IV	431145	12
IV	441268	3
IV	441299	9
IV	450189	2
IV	452911	8
IV	465563	10
IV	476306	8
IV	489442	2
IV	505234	2
IV	509080	9
IV	519900	1
IV	525258	11
IV	525252	12
IV	538734	2
IV	558682	9
IV	561546	9
IV	586544	9
IV	587840	1
IV	592524	6
IV	592528	12
IV	592546	6
IV	601000	42
IV	601034	66
IV	601279	12
IV	604241	3
IV	604241	15
IV	607046	15
IV	607042	9
IV	607043	1
IV	617723	9
IV	654339	3
IV	660957	6
IV	678014	1
IV	681737	13
IV	681977	10
IV	716147	9
IV	721180	12
IV	722236	6
IV	747086	3
IV	747496	3
IV	747515	3
IV	747512	9
IV	747518	15
IV	747536	6
IV	754463	18
IV	771624	5
IV	778818	11
IV	778734	3
IV	801681	3
IV	801900	6
IV	802945	11
IV	810473	2
IV	810755	12
IV	810729	3
IV	812806	12
IV	812791	3
IV	831884	14
IV	834012	9
IV	834018	12
IV	838067	3
IV	838274	11
IV	840423	2
IV	848439	9
IV	864868	2
IV	867789	12
IV	871082	30
IV	884573	1
IV	892699	1
IV	894998	11
IV	921814	1
IV	923073	6
IV	923070	9
IV	923070	18
IV	923076	9
IV	930965	2
IV	946634	8
IV	974329	10
IV	975177	9
IV	981142	27
IV	981360	10
IV	986987	10
IV	992646	11
IV	1010854	12
IV	1012097	13
IV	1016195	11
IV	1038650	3
IV	1056071	15
IV	1059924	3
IV	1059930	15
IV	1079011	1
IV	1080945	25
IV	1081059	10
IV	1095807	11
IV	1101395	11
IV	1111981	18
IV	1114671	9
IV	1125864	12
IV	1135055	3
IV	1156858	14
IV	1167500	12
IV	1223400	12
IV	1239032	2
IV	1239713	9
IV	1239722	12
IV	1242545	11
IV	1251217	18
IV	1251246	12
IV	1251258	12
IV	1277602	11
IV	1279251	6
IV	1279252	12
IV	1290976	3
IV	1296734	22
IV	1307696	84
IV	1307696	42
IV	1321983	2
IV	1328902	15
IV	1329653	12
IV	1329743	24
IV	1329752	24
IV	1329812	21
IV	1341045	12
IV	1346538	6
IV	1357475	1
IV	1385472	2
IV	1411799	12
IV	1411800	12
IV	1412423	3
IV	1418461	2
IV	1427591	12
IV	1456583	10
IV	1456567	6
IV	1456577	16
IV	1458141	9
IV	1469430	12
IV	1478130	6
IV	1490926	14
IV	1503824	15
IV	1503840	18
IV	1505684	25
IV	1511968	11
IV	1513903	13
IV	1525373	8
IV	1525389	17
IV	1525419	9
IV	1525422	14
IV	1525405	11
IV	1525428	20
IV	1525860	11
IV	1530104	36
V	1470	36
V	1470	72
V	1939	12
V	1909	24
V	1975	36
V	2032	12
V	4070	19
V	6338	6
V	19517	10
V	31461	2
V	34084	9
V	42978	8
V	49342	6
V	59360	1
V	59360	13
V	63550	12
V	65294	1
V	69032	10
V	72305	6
V	73468	12
V	73469	12
V	76007	9
V	79217	3
V	79235	3
V	81195	3
V	83156	6
V	83151	15
V	83156	12
V	83183	3
V	84874	5
V	86489	1
V	100490	10
V	100574	1
V	118578	2
V	132566	2
V	132953	8
V	140316	5
V	140703	7
V	141317	6
V	142890	3
V	157055	6
V	175590	18
V	175588	36
V	175660	36
V	175588	72
V	175660	72
V	189350	10
V	189354	9
V	192684	6
V	198593	2
V	205350	9
V	213857	9
V	219942	3
V	225783	2
V	241869	7
V	243657	1
V	243777	11
V	251238	5
V	256304	2
V	260568	11
V	261465	1
V	266089	12
V	271463	10
V	284385	2
V	284429	2
V	294950	13
V	298049	8
V	298877	9
V	309005	3
V	309086	6
V	319277	12
V	342338	13
V	349685	11
V	377450	9
V	382299	1
V	383707	6
V	387687	9
V	390871	12
V	406363	12
V	415743	10
V	425049	8
V	430753	11
V	434184	11
V	434301	12
V	436449	17
V	469612	5
V	490212	6
V	492773	11
V	498361	11
V	517509	10
V	517534	9
V	525166	12
V	529383	6
V	535546	9
V	545113	10
V	545365	12
V	545589	11
V	546346	3
V	546445	11
V	553273	4
V	570119	11
V	570713	11
V	574921	36
V	576795	10
VI	892	36
VI	1110	12
VI	1119	36
VI	1182	36
VI	1239	12
VI	4271	11
VI	4703	14
VI	4717	13
VI	4717	24
VI	4737	13
VI	4726	11
VI	4750	16
VI	4779	9
VI	4765	11
VI	4796	13
VI	6896	11
VI	16275	17
VI	38776	10
VI	46683	15
VI	57453	11
VI	57873	6
VI	57868	12
VI	58006	2
VI	68949	2
VI	73358	3
VI	78011	2
VI	87682	7
VI	87979	9
VI	87979	15
VI	89099	15
VI	92378	30
VI	92474	30
VI	95073	10
VI	95735	5
VI	96628	12
VI	96677	6
VI	104559	1
VI	104559	20
VI	106882	6
VI	107818	2
VI	115131	30
VI	148561	13
VI	148945	10
VI	152823	15
VI	160577	3
VI	162075	11
VI	168320	25
VI	169660	8
VI	171834	9
VI	179313	3
VI	181940	10
VI	186218	3
VI	186761	12
VI	202291	12
VI	202488	12
VI	210345	2
VI	210515	9
VI	222197	6
VI	222917	12
VI	223115	12
VI	224149	7
VI	225399	6
VI	226613	10
VI	227156	6
VI	227352	6
VI	227479	1
VI	229517	6
VI	232964	6
VI	232964	18
VI	234080	16
VI	237135	9
VI	237158	9
VI	239959	10
VI	270117	13
VII	32	11
VII	235	11
VII	17331	11
VII	52589	5
VII	53131	3
VII	53149	9
VII	53146	12
VII	65408	9
VII	67145	5
VII	69165	15
VII	69167	15
VII	69353	2
VII	70161	9
VII	70166	3
VII	70161	12
VII	70166	15
VII	70196	6
VII	70172	15
VII	70196	12
VII	75475	2
VII	79003	2
VII	80603	1
VII	89636	9
VII	112183	20
VII	127093	9
VII	140294	1
VII	140293	20
VII	156106	2
VII	156142	4
VII	158866	6
VII	158899	6
VII	169890	6
VII	169928	12
VII	170578	10
VII	170642	7
VII	192235	12
VII	206829	10
VII	224849	6
VII	245642	3
VII	259634	12
VII	270269	12
VII	271845	11
VII	272292	2
VII	274699	2
VII	278780	1
VII	280052	12
VII	280186	9
VII	280175	15
VII	307200	12
VII	307180	2
VII	307200	24
